Charge Code,Charge Description,Department Code,Department,Effective,Rev Code,Price,CPT/HCPCS
1010001,INTENSIVE CARE UNIT,ICU,3010,10/1/2012 0:00,0200,9100,
1015001,CORONARY CARE UNIT,CCU,3030,10/1/2012 0:00,0210,9100,
1020101,TELEMETRY UNIT,Telemetry,3150,10/1/2012 0:00,0214,6100,
1022202,M/S ACUTE PRIVATE,Med Surge 3West,3170,10/1/2012 0:00,0111,4300,
1022801,MS ACUTE SEMI PRIVATE,Med Surge 3West,3170,10/1/2012 0:00,0121,4100,
1032101,ACUTE REHAB PRIVATE,Rehabilitation,3440,10/1/2012 0:00,0118,4300,
1032102,BED HOLD - REHAB,Rehabilitation,3440,2/11/2020 0:00,0999,0,
1033401,ACUTE REHAB SEMI-PRIVATE,Rehabilitation,3440,10/1/2012 0:00,0128,4100,
1040101,SUB-ACUTE PVT W/VENT,Sub-Acute,3560,10/1/2012 0:00,0111,3600,
1040501,SUB-ACUTE PVT NON-VENTS,Sub-Acute,3560,10/1/2012 0:00,0111,3200,
1040801,SUB-ACUTE SMI-PVT W/VENTS,Sub-Acute,3560,10/1/2012 0:00,0121,3200,
1040802,SUB SEMI-PVT NON/VENTS,Sub-Acute,3560,10/1/2012 0:00,0121,2900,
1041402,BEDHOLD NON-VENTS,Sub-Acute,3560,10/1/2012 0:00,0111,2900,
1041501,BEDHOLD PVT VENTS,Sub-Acute,3560,10/1/2012 0:00,0111,3200,
1042601,4E M/S ACUTE SEMI PRIVATE,Med Surge 4East,3179,10/1/2012 0:00,0121,4100,
1042701,BEDHOLD SEMI-PVT VENTS,Sub-Acute,3560,10/1/2012 0:00,0111,2900,
1042702,BEDHOLD SEMI-PVT NON-VENTS,Sub-Acute,3560,10/1/2012 0:00,0121,2900,
1130377,PLASTER SPLINT LEG,Emergency room,4010,12/8/2015 0:00,0271,200.1,
1130378,FINGER SPLINT,Emergency room,4010,10/1/2012 0:00,0271,48.39,
1130386,SUTURE PKT,Emergency room,4010,10/1/2012 0:00,0272,36.31,
1135160,EXTRACTOR KATZ FOREIGN BODY,Emergency room,4010,1/1/1960 0:00,0272,418,
1135162,SET PUMP INFUSION 60drps,Emergency room,4010,1/1/1960 0:00,0274,320,29580
1135170,NEEDLE LUMBER SPROTTE 22GX4,Medical Supplies Sold to Patients,4470,12/8/2015 0:00,0272,62.5,
1190002,ED VISIT LEVEL 1,Emergency room,4010,3/13/2020 0:00,0450,83.05,99281
1190003,ED VISIT LEVEL II,Emergency room,4010,10/1/2012 0:00,0450,566.6,99282
1190004,ED VISIT LEVEL III,Emergency room,4010,10/1/2012 0:00,0450,824.13,99283
1190005,ANKLE BRACE,Emergency room,4010,10/1/2012 0:00,0274,259.08,
1190010,GASTRIC INTUBATION LAVAGE,Emergency room,4010,10/1/2012 0:00,0450,231.8,43753
