chg_cod_ext_id,chg_desc,ref_eff_ts,row_sta_cd,table_int_id,ref_int_id,org_int_id,lst_mod_id,lst_mod_ts,compute_0010,org_nm,gl_account_id,gl_sub_acct,chg_type_int_id,cod_dtl_ds,active_dt,cod_dtl_ext_id,chg_amt_1,cpt_mod_id,cpt4_ext_id,gl_stat
3000001036,ADMIN HEPATITIS B VACCINE,03/20/2018 14:04:58:83,A,600,96245,6022,powerkv0,03/20/2018 14:04:58:83,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,48,,G0010,
300001034,"IMMOBILIZER, SHOULDER LARGE",01/15/2016 18:41:22:28,A,600,86246,6022,powerkh0,01/15/2016 18:41:22:28,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,73.5,,,
300001035,"IMMOBILIZER, SHOULDER MEDIUM",01/15/2016 18:41:22:28,A,600,86242,6022,powerkh0,01/15/2016 18:41:22:28,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,73.5,,,
300001131,BINDER ABD PANEL 3 30-45,01/15/2016 18:41:22:28,A,600,86234,6022,powerkh0,01/15/2016 18:41:22:28,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,78.75,,,
300001132,"BINDER, ABD PANEL 4 46-62",01/15/2016 18:41:22:28,A,600,86238,6022,powerkh0,01/15/2016 18:41:22:28,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,111.3,,,
300001209,"DRESSING, DUODERM X-THIN STR 4X4",01/15/2016 18:41:22:28,A,600,86316,6022,powerkh0,01/15/2016 18:41:22:28,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,22.05,,,
300001290,NEEDLE SPINAL 18G,01/15/2016 18:41:22:28,A,600,86368,6022,powerkh0,01/15/2016 18:41:22:28,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,6.3,,,
300001291,NEEDLE SPINAL 20G,01/15/2016 18:44:03:477,A,600,86372,6022,powerkh0,01/15/2016 18:44:03:477,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,6.3,,,
300001411,"TRAY,LUMBAR PUNCTR ADLT 20/3 1/2",01/15/2016 18:41:28:52,A,600,86284,6022,powerkh0,01/15/2016 18:41:28:52,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,107.1,,,
300001416,"TRAY, THORACENTESIS 2/CATHETER",01/15/2016 18:41:28:52,A,600,86288,6022,powerkh0,01/15/2016 18:41:28:52,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,214.2,,,
