BarCdmID|Name|GlGdp|HCPCS|CPT|Subcategory|StandardAmount|StandardEffectiveDateID|Active|IPCount2022|IPAmount2022|OPCount2022|OPAmount2022|ChargeType|GlCorp|ReplaceCode1|ReplaceCode2|ReplaceCode3|ReplaceCode4|ReplaceCode5|RVU|HcpcsEffectiveDateTime|CptEffectiveDateTime|MasterCodeOnly|SubcategoryDescription|ClientDiscount|HcpcsMultiEffectiveDateTime|HcpcsMultiplier|Editable|StdProCompPercent|Facility_MisFacID|O/D|StatExpression|StatExpressionOverride|StatValue|Requirement|HCPCS_MCD|HcpcsMcdEffectiveDateTime|HCPCS_MCR|HcpcsMcrEffectiveDateTime|CPTMod|HCPCSMod
3008863276|IGG|70200||82784|0300|44.35|2022-01-01 00:00:00.000|Y|0|0.00|41|1818.35|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008867654|RUBEOLA IGM|70200||86765|0302|61.43|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Immunology Tests|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008870810|S. Aureus MRSA or MSSA|70200||87081|0306|31.61|2022-01-01 00:00:00.000|Y|0|0.00|12|379.32|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Bact & Micro Tests|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008871030|CULTURE N.P. OR NOSE|70200||87070|0306|41.09|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Bact & Micro Tests|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008874984|EB ANTIBODY (VCA-IGG)|70200||86665|0300|65.59|2022-01-01 00:00:00.000|Y|0|0.00|6|393.54|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008882891|Men’s Health Panel|70200|||0310|105.00|2022-01-01 00:00:00.000|Y|0|0.00|5|525.00|Ancillary|12||||||NULL|NULL|NULL|N|Pathology Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008891216|CYCLIC CITRULLINATED PEPTIDE|70200||86200|0302|61.71|2022-01-01 00:00:00.000|Y|0|0.00|42|2591.82|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Immunology Tests|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008891359|PML/RARALPHA COM BREAKPOINTS|70200||81315|0300|710.00|2022-01-01 00:00:00.000|Y|0|0.00|-1|-710.00|Ancillary|12||||||NULL|NULL|2017-01-01 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008894933|CLOTEST|70200||87077|0300|38.50|2022-01-01 00:00:00.000|Y|0|0.00|10|385.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008895192|ANTIEPILEPTIC TESTING|70200||80339|0300|279.79|2022-01-01 00:00:00.000|Y|0|0.00|1|279.79|Ancillary|12||||||NULL|NULL|2017-01-01 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||G0480|2017-01-01 00:00:00.000|G0480|2017-01-01 00:00:00.000|NULL|NULL
3008895336|ANTI-MIOCHONDRIAL ANTIBODY|70200||86381|0300|54.99|2022-01-01 00:00:00.000|Y|0|0.00|20|1099.80|Ancillary|12||||||NULL|NULL|2022-01-01 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
