Code Type,Code,Facility,IP Expected Reimbursement,IP_Charge,IP_Selfpay,MAX IP XR,MAX OP XR,MIN IP XR,MIN OP XR,NDC,OP Expected Reimbursement,OP_Charge,OP_Selfpay,Payer,Plan(s),Procedure Description,Procedure,Rev Code
EAP,,Avon,,,,,,,,,,,,<Self-pay>,<Self-pay>,Misc Send Out Test,99999,
EAP,,Avon,,,,,,,,,,,,<Self-pay>,<Self-pay>,Misc Send Out Test,99999998,
EAP,CPT® 0001U,Avon,338.18,471,306.15,447.45,,0,,,,,,UMR [52168],UMR PEIA [52501],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,375.86,471,306.15,447.45,,0,,,,,,INTERNATIONAL,INTL AETNA [50035],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,MEDICARE [130,MEDICARE A [13000],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,MMO MEDICARE,MMO MEDADVANTAGE PPO [12156],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,MILITARY [730,CHAMPVA CENTER [73000],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,UNITED HEALTH,VA CCN OPTUM [59176],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,343.83,471,306.15,447.45,,0,,,,,,SUMMACARE [52,ZZZSC MERCY CHOICE POS [52168],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,WESTERN RES H,HOSPICE OF WESTERN RESERV [52183],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,CARESOURCE ME,CARESOURCE MEDICAID [22013],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,320.28,471,306.15,447.45,,0,,,,,,AULTCARE [520,AULTCARE HMO [52494],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,PRIMETIME [12,PRIMETIME HMO POS [12025],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,BUCKEYE MEDIC,MYCARE BUCKEYE MEDICARE [12126],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,MOLINA MEDICA,MOLINA HEALTHCARE MEDICAID OH [22,Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,BUCKEYE MEDIC,ALLWELL BUCKEYE HMO [12176],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,147.89,471,306.15,447.45,,0,,,,,,OSCAR [52140],OSCAR HIX [52449],Human Erythrocyte Ag,30212,0
EAP,CPT® 0001U,Avon,,471,306.15,447.45,,0,,,,,,BWC [82000],ZZZWV WORKERS COMPENSATION [82000,Human Erythrocyte Ag,30212,0
