CHARGE_CODE,CHARGE_DESCRIPTION,CHARGE,REVENUE_CODE,CPT_CODE,PHARMACY_NDC
3505006,ROOM & BOARD ICU,4411.37,200,,
3505009,ROOM & BOARD ICU,4411.37,202,,
3506000,ROOM & BOARD ICU,4411.37,201,,
3506001,ROOM & BOARD ICU,4411.37,203,,
3506002,ROOM & BOARD ICU,4411.37,204,,
3510007,ROOM & BOARD,4638.27,120,,
3515014,ROOM & BOARD,4638.27,110,,
3515017,ROOM & BOARD,4638.27,194,,
3515018,ROOM & BOARD,4638.27,213,,
3516001,ROOM & BOARD,4638.27,191,,
3516002,HOST ROOM & BOARD,4638.27,120,,
3516005,SITTER RN,202.64,230,,
3516006,SITTER LPN,142.38,230,,
3516007,SITTER NA,83.5,230,,
3516008,SITTER RT,178.63,220,,
3516009,MIDLINE VENIPUNCTURE,2026.35,230,,
3570000,ROOM & BOARD HIGH OB,4411.37,206,,
3570001,ROOM & BOARD HIGH OB,4411.37,207,,
3570002,ROOM & BOARD HIGH OB,4411.37,208,,
3570003,ROOM & BOARD HIGH OB,4411.37,209,,
3570004,ROOM & BOARD HIGH OB,4411.37,210,,
4149999,,.07,250,,
4155006,PAT/FAM EDUCATION,75.65,942,,
4155007,DIALYSIS  PERITONEAL/OTHER,2232.3,802,90945,
4156000,HEMODIALYSIS  ONE EV,4470.81,801,90935,
4180003,BED FLUID AIR,570.32,270,E0194,
4180014,PNEUMATIC COMPRESSOR,114.28,270,E0652,
4180015,CPM,79.19,270,E0935,
4180022,ADAPTER CATHETER IV,16.91,270,,
4180027,ADAPTER CIRCUIT MINOR  RESP EA,6.07,270,,
4180032,BAG AEROSOL DRAIN,17.43,270,,
4180033,AMBU W/MASK,95.89,270,,
4180037,BAG DRAIN URINEMETER,68.78,270,,
4180038,BAG ENEMA SOAP/DRAPE,16.43,270,,
4180039,BAG FECAL INCONTINEN,29.01,270,,
4180042,BAG LEG URINE,10.35,270,,
4180047,BANDAGE SELF ADHESIVE LG/MD,13.48,270,,
4180049,BANDAGE ELASTIC,11.09,270,,
4180050,BANDAGE TUBE PER YD,98.59,270,,
4180051,BANDAGES STERI-STRIP,9.1,270,,
4180056,BELT GAIT,44.9,270,,
4180058,BELT PELVIC,63.24,270,,
4180060,BINDER ABDOMINAL,110.1,270,,
4180066,BLANKET HYPO DISP,125.29,270,,
4180071,BOOT-UNNA 3" W/TAPE,62.08,270,,
4180079,CANNISTER SUCT,21.13,270,A7000,
4180080,CANNISTER WOUND VAC 500 CC EA,192.52,270,A7000,
4180087,TRAY CNTL LN SINGLE DISP,108,270,,
4180090,MALE CATHETER EXTERNAL EA,9.9,270,A4349,
4180093,CATHETER FOLEY EA,40.15,270,A4346,
4180095,CATH FOLEY SIL 5CC,50.17,270,A4338,
4180096,CATHETER GROSHONG DL,6847.08,270,,
4180097,CATHETER IV PROTECTIVE,17.43,270,,
4180100,CATH RED RUB ANY FR,3.53,270,A4351,
4180102,CATHETER SUCTION,5.27,270,,
4180105,CATHETER THORACIC,42.25,270,,
4180110,CEMENT SKIN BOND 4OZ,135.6,270,,
4180112,CIRCUIT BREATHING,69.7,270,A4618,
4180113,CIRCUIT IPPB UNIVERS,21.26,270,,
4180114,CIRCUIT VENTILATOR,23.75,270,,
4180116,CLAMP CATH/TUBE,33.26,270,A4356,
4180124,CLEANSER WOUND CARE,13.73,270,,
