Description,CURRENT PRICE,,,
 RL NOS INFECTIOUS AG BY IF,$48.30,,,
014 HT TurnTrac 190 HC WW,$288.00,,,
014 HT TurnTrac 190 pHC WW,$288.00,,,
014 HT TurnTrac 300 HC WW,$288.00,,,
014 HT TurnTrac 300 pHC WW,$288.00,,,
014 HT TurnTrac Flex 190 HC WW,$288.00,,,
014 HT TurnTrac Flex 300 HC WW,$288.00,,,
014 HT TurnTrac Flx 190 pHC WW,$288.00,,,
014 HT TurnTrac Flx 300 pHC WW,$288.00,,,
014 HT VERSATURN F 190 HC J WW,$288.00,,,
014 HT VERSATURN F 190 HC WW,$288.00,,,
014 HT VERSATURN F 190 pHC WW,$288.00,,,
014 HT VERSTURN F 190 pHC J WW,$288.00,,,
049042 ABSORBABLE HEMOSTAT,$71.00,,,
1' PROFUNDUS TENDON REPAIR,"$7,336.23",,,
10.3 FR 25 CM DRAINAGE CATH,$437.50,,,
10.3F ABSCESS DR CATH,$486.00,,,
10F MULTIPURPOSE DRAINAGE CATH,$105.15,,,
10G NEEDLE GUIDE INSERTS FISHR,$12.00,,,
11MMX5CMX120CM VASC CATH,"$5,471.44",,,
12 F DRAINAGE CATH,"$10,500.00",,,
12 LEAD EKG; GLOBAL,$57.00,,,
12 LEAD EKG; TRACING ONLY,$557.00,,,
12FR NEPHROSTOMY CATH,$105.15,,,
14 F DRAIN CATH,"$10,500.00",,,
150075 PULMONARY WEDGE,$272.00,,,
153PB-CDS 15/3 FF 1STEP CDS,"$12,800.00",,,
16 FR INTRODUCER G TUBE,$314.00,,,
17-HYDROXYPREGNENOLONE,$263.33,,,
17-OHCS,$98.76,,,
18 FR G TUBE,$56.00,,,
18 FR INTRODUCER G TUBE,$314.00,,,
2' SUT ABD WALL FOR EVISCERATN,"$4,920.92",,,
2.25x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.25x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.5x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2.75x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
2420.45.06 MINI STRAIGHT,$451.50,,,
27-156 BILIARY CATH 8 FR 35CM,$166.00,,,
