Service Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
ARS  Psytx pt&/fam 60 minutes,UHHS UHC,35860,UHC Addiction Svcs,Tech,389.00
ARS  Psytx pt&/fam w/e&m 60 min,UHHS UHC,35859,UHC Addiction Svcs,Tech,584.00
ARS Aftercare family psychothrpy w/o pt,UHHS UHC,22946,UHC Addiction Svcs,Tech,846.00
ARS Aftercare family psychothrpy w/pt,UHHS UHC,22947,UHC Addiction Svcs,Tech,564.00
ARS aftercare Psytx pt&/fam w/e&m 30 min,UHHS UHC,35853,UHC Addiction Svcs,Tech,344.00
ARS aftercare Psytx pt&/fam w/e&m 45 min,UHHS UHC,35855,UHC Addiction Svcs,Tech,473.00
ARS aftercare Psytx pt&/fam w/e&m 60 min,UHHS UHC,35857,UHC Addiction Svcs,Tech,584.00
ARS aftercare Psytx pt&/family 30 minutes,UHHS UHC,35852,UHC Addiction Svcs,Tech,229.00
ARS Aftercare Psytx pt&/family 45 minutes,UHHS UHC,35854,UHC Addiction Svcs,Tech,316.00
ARS aftercare Psytx pt&/family 60 minutes,UHHS UHC,35856,UHC Addiction Svcs,Tech,389.00
ARS family psychotherapy w/o patient,UHHS UHC,22955,UHC Addiction Svcs,Tech,846.00
ARS family psychotherapy w/patient,UHHS UHC,22956,UHC Addiction Svcs,Tech,564.00
ARS group psychotherapy,UHHS UHC,22950,UHC Addiction Svcs,Tech,316.00
ARS IOP Family psychotherapy w/o patnt,UHHS UHC,22939,UHC Addiction Svcs,Tech,846.00
ARS IOP family psychotherapy w/patient,UHHS UHC,22940,UHC Addiction Svcs,Tech,564.00
ARS IOP Psytx pt&/fam w/e&m 30 min,UHHS UHC,35847,UHC Addiction Svcs,Tech,344.00
ARS IOP Psytx pt&/fam w/e&m 45 min,UHHS UHC,35849,UHC Addiction Svcs,Tech,473.00
ARS IOP Psytx pt&/fam w/e&m 60 min,UHHS UHC,35851,UHC Addiction Svcs,Tech,584.00
ARS IOP Psytx pt&/family 30 minutes,UHHS UHC,35846,UHC Addiction Svcs,Tech,229.00
ARS IOP Psytx pt&/family 45 minutes,UHHS UHC,35848,UHC Addiction Svcs,Tech,316.00
ARS IOP Psytx pt&/family 60 minutes,UHHS UHC,35850,UHC Addiction Svcs,Tech,389.00
ARS PHP education,UHHS UHC,12462,UHC Addiction Svcs,Tech,581.00
ARS PHP family psychotherapy w/o patient,UHHS UHC,22931,UHC Addiction Svcs,Tech,846.00
ARS PHP Family Psychotherapy w/patient,UHHS UHC,22932,UHC Addiction Svcs,Tech,564.00
ARS PHP Psytx pt&/fam w/e&m 30 min,UHHS UHC,35841,UHC Addiction Svcs,Tech,344.00
ARS PHP Psytx pt&/fam w/e&m 45 min,UHHS UHC,35843,UHC Addiction Svcs,Tech,473.00
ARS PHP Psytx pt&/fam w/e&m 60 min,UHHS UHC,35845,UHC Addiction Svcs,Tech,584.00
ARS PHP Psytx pt&/family 30 minutes,UHHS UHC,35840,UHC Addiction Svcs,Tech,229.00
ARS PHP Psytx pt&/family 45 minutes,UHHS UHC,35842,UHC Addiction Svcs,Tech,316.00
ARS PHP Psytx pt&/family 60 minutes,UHHS UHC,35844,UHC Addiction Svcs,Tech,389.00
ARS Psych diag eval w/med srvcs,UHHS UHC,35833,UHC Addiction Svcs,Tech,468.00
ARS Psych diagnostic evaluation,UHHS UHC,35832,UHC Addiction Svcs,Tech,468.00
ARS Psytx crisis ea addl 30 min,UHHS UHC,35839,UHC Addiction Svcs,Tech,260.00
ARS Psytx crisis initial 60 min,UHHS UHC,35838,UHC Addiction Svcs,Tech,672.00
ARS Psytx pt&/fam w/e&m 30 min,UHHS UHC,35835,UHC Addiction Svcs,Tech,344.00
ARS Psytx pt&/fam w/e&m 45 min,UHHS UHC,35837,UHC Addiction Svcs,Tech,473.00
ARS Psytx pt&/family 30 minutes,UHHS UHC,35834,UHC Addiction Svcs,Tech,229.00
ARS Psytx pt&/family 45 minutes,UHHS UHC,35836,UHC Addiction Svcs,Tech,316.00
Inject IM or subcut any drug,UHHS UHC,11346,UHC Addiction Svcs,Tech,202.00
OP new patient visit level 1,UHHS UHC,9319,UHC Addiction Svcs,Tech,113.00
OP new patient visit level 2,UHHS UHC,9320,UHC Addiction Svcs,Tech,134.00
OP new patient visit level 3,UHHS UHC,9321,UHC Addiction Svcs,Tech,153.00
OP new patient visit level 4,UHHS UHC,11487,UHC Addiction Svcs,Tech,173.00
OP new patient visit level 5,UHHS UHC,11491,UHC Addiction Svcs,Tech,194.00
OP Visit Est Pt Level 1,UHHS UHC,9324,UHC Addiction Svcs,Tech,113.00
OP Visit Est Pt Level 2,UHHS UHC,9325,UHC Addiction Svcs,Tech,134.00
OP Visit Est Pt Level 3,UHHS UHC,9326,UHC Addiction Svcs,Tech,153.00
OP Visit Est Pt Level 4,UHHS UHC,9327,UHC Addiction Svcs,Tech,173.00
OP Visit Est Pt Level 5,UHHS UHC,9328,UHC Addiction Svcs,Tech,194.00
Analysis fluid dynamic simulated max coronary hype gen est,UHHS UHC,41896,UHC Adv Int Ctr,Tech,"5,599.00"
Cardiac MRI Exercise Treadmill Stress Test,UHHS UHC,53363,UHC Adv Int Ctr,Tech,"1,681.00"
Cardiac MRI for morphology & function wo contrast material,UHHS UHC,17216,UHC Adv Int Ctr,Tech,"2,619.00"
