Wayne HealthCare,,,,
835 Sweitzer Street,,,,
"Greenville, OH 45331",,,,
,,,,
Effective 01/01/2022,,,,
,,,,
2022 STANDARD CHARGES,,,,
,,,,
"CHARGE
NUMBER",DESCRIPTION,"CPT/HCPC/
DRG CODE",2022,DEPARTMENT
7290471,ADMINISTRATION ONE VACCINE,90471,$81.00 ,AMBULATORY CARE
1300501,CARDIOVERSION 3N,92960,"$2,485.00 ",AMBULATORY CARE
7236450,COLLECTION BLOOD IMPTL PORT,36591,$252.00 ,AMBULATORY CARE
4002827,DISP ELECTROSURGICAL SNARE (SOFT),,$45.00 ,AMBULATORY CARE
7290472,EACH ADDITIONAL VACCINE,90472,$17.00 ,AMBULATORY CARE
7200591,INJECTION IV ADDTL PUSH (NEW DRUG),96375,$180.00 ,AMBULATORY CARE
7200590,INJECTION IV PUSH,96374,$869.00 ,AMBULATORY CARE
7200269,INJECTION SC OR IM,96372,$286.00 ,AMBULATORY CARE
1336569,INSERT PICC LINE WO PRT PMP WO IM G 5YR+,36569,"$2,518.00 ",AMBULATORY CARE
7251702,INSERTION OFINDWELLING BLADDER CATH,51702,$516.00 ,AMBULATORY CARE
7202216,IRRIGATE IMPLANTED VENOUS DEVICE,96523,$142.00 ,AMBULATORY CARE
7296368,IV INFUSION CONCURRENT,96368,$155.00 ,AMBULATORY CARE
7200608,IV INFUSION/HYDRATION ADDTL HOUR,96361,$180.00 ,AMBULATORY CARE
7200657,IV INFUSION/HYDRATION INITIAL HR,96360,$869.00 ,AMBULATORY CARE
7202214,IV INFUSION/SEQUENTIAL ADDTL HOUR,96367,$286.00 ,AMBULATORY CARE
7202213,IV INFUSION/THERAPEUTIC ADDTL HOUR,96366,$180.00 ,AMBULATORY CARE
7202212,IV INFUSION/THERAPEUTIC INITIAL HOUR,96365,$869.00 ,AMBULATORY CARE
3100534,LEVEL 1,,$299.00 ,AMBULATORY CARE
3100570,LEVEL 2,,$361.00 ,AMBULATORY CARE
3100572,LEVEL 3,,$389.00 ,AMBULATORY CARE
3100580,LEVEL 4,,$458.00 ,AMBULATORY CARE
3100584,LEVEL 5,,$582.00 ,AMBULATORY CARE
3100585,LEVEL 6,,$612.00 ,AMBULATORY CARE
3100586,LEVEL 7,,$730.00 ,AMBULATORY CARE
4000387,MALE LUER LOCK DOUBLE,,$8.00 ,AMBULATORY CARE
4000884,NEEDLE STELLATE 22GA,,$21.00 ,AMBULATORY CARE
4000928,OMNIPAQUE 180 20ML,Q9965,$89.00 ,AMBULATORY CARE
1300210,OP CARDIOVERSION 3N,92960,"$2,485.00 ",AMBULATORY CARE
4006451,OVERTUBE GASTRIC,,$362.00 ,AMBULATORY CARE
4004122,POLY LOOP,A4649,$237.00 ,AMBULATORY CARE
4002826,POLYPECTOMY SNARE 25MM DISP SNARE MASTER,,$45.00 ,AMBULATORY CARE
7296521,REFILL AND MAINTENANCE OF PORTBLE PUMP,96521,$460.00 ,AMBULATORY CARE
2500700,TRANSFUSION BLOOD 013,36430,"$1,426.00 ",AMBULATORY CARE
3136430,TRANSFUSION BLOOD 031,36430,"$1,426.00 ",AMBULATORY CARE
7200236,TREATMENT ROOM,99201,$105.00 ,AMBULATORY CARE
4002520,TRIPLE LUMEN PICC LINES,C1751,$564.00 ,AMBULATORY CARE
4003412,WOUND MANAGER 3X3,,$49.00 ,AMBULATORY CARE
64000700,ATOMIZER LARYNGO TRACHEAL DEVICE NO SYRI,A4649,$27.00 ,ANESTHESIA
64009215,BAXTER SET ANTI SIPHON ANESTHESIA,,$15.00 ,ANESTHESIA
64010789,COOK AINTREE CATHETER SET INTUBATION,,$168.00 ,ANESTHESIA
6400004,GENERAL ANESTHESIA  15 MIN,,$348.00 ,ANESTHESIA
6400005,MAC- 15 MINS,,$226.00 ,ANESTHESIA
6400006,REGIONALS/BLOCKS 15 MINS,,$332.00 ,ANESTHESIA
64005140,SPINAL NEEDLE WHITACRE 25G X 5IN,A4649,$20.00 ,ANESTHESIA
64008276,VAPOR CLEAN FILTER FOR MALIGNANT HYPERTH,,$197.00 ,ANESTHESIA
4601064,BB AB SCREEN,86850,$179.00 ,BLOOD BANK
4600108,BB ABO TYPE,86900,$402.00 ,BLOOD BANK
4601015,BB ANTEPARTUM RHOGAM,86901,$121.00 ,BLOOD BANK
4600306,BB ANTIBODY ID,86870,"$1,191.00 ",BLOOD BANK
4600405,BB ANTIBODY SCREEN,86850,$182.00 ,BLOOD BANK
4600553,BB ANTIGEN TYPING DONOR UNIT,86902,"$1,071.00 ",BLOOD BANK
4600554,BB ANTIGEN TYPING PATIENT,86905,$122.00 ,BLOOD BANK
4600103,BB CRYO (5 units) GIVEN,P9012,$877.00 ,BLOOD BANK
4600114,BB CRYO (5 units) GIVEN,P9012,$130.00 ,BLOOD BANK
4600702,BB DIRECT COOMBS,86880,$121.00 ,BLOOD BANK
4600646,BB EMERGENCY X-MATCH,86920,$517.00 ,BLOOD BANK
4601201,BB EXP TRANS REACTION DC,8688091,$123.00 ,BLOOD BANK
4600876,BB FETAL SCREEN,85461,$35.00 ,BLOOD BANK
4601114,BB FFP THAWED/WASTED,86927,$475.00 ,BLOOD BANK
4600104,"BB FFP, GIVEN",P9017,$308.00 ,BLOOD BANK
4601115,BB FULL X MATCH CHARGE,86922,$603.00 ,BLOOD BANK
4600850,BB KLEIHAUER BETKE - Compunet,85460,$114.00 ,BLOOD BANK
4600650,BB LEUKO REDUCED UNIT GIVEN,P9016,$692.00 ,BLOOD BANK
4600651,BB LRRBC IRRAD UNIT GIVEN,P9040,$966.00 ,BLOOD BANK
4600113,BB PH PLT IRRAD UNIT GIVEN,P9037,"$2,332.00 ",BLOOD BANK
